Compound,Source (ICSD ID or reference),A,A Oxidation State,B, B Oxidation State,B',B' Oxidation State,X,X Oxidation State,A Radius,B Radius,B' Radius,X Radius
A2BB’X6 – other,425757,Ag,1,V,5,As,5,O,-2,1.22,0.54,0.46,1.4
A2B2B’X7,73521,Ho,3,Be,2,Si,4,O,-2,0.901,0.45,0.4,1.4
A2BB’X6 – other,730580,Ag,1,V,5,P,5,O,-2,1.22,0.54,0.38,1.4
Ilmenite,89432,Ag,1,Bi,5,Bi,5,O,-2,1.22,0.76,0.76,1.4
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Ca,2,Ca,2,Cl,-1,1.22,1,1,1.81
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Cd,2,Cd,2,Br,-1,1.22,0.95,0.95,1.96
ABB’2X7,421413,Fe,3,Ag,1,P,5,O,-2,0.645,1.15,0.38,1.4
ABB’2X7,166891,Fe,3,Ag,1,V,5,O,-2,0.645,1.15,0.54,1.4
AB3X8,194399,Ag,1,I,5,I,5,O,-2,1.22,0.95,0.95,1.4
ABB’2X7,261150,In,3,Ag,1,P,5,O,-2,0.8,1.15,0.38,1.4
ABB’2X7,73983,La,3,Ag,1,Nb,5,O,-2,1.36,1.15,0.64,1.4
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Mg,2,Mg,2,Cl,-1,1.22,0.72,0.72,1.81
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Pb,2,Pb,2,Br,-1,1.22,1.19,1.19,1.96
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Pb,2,Pb,2,F,-1,1.22,1.19,1.19,1.33
Pyroxene,74442,Ag,1,Ta,5,Ta,5,S,-2,1.22,0.64,0.64,1.84
ABB’2X7,427970,V,3,Ag,1,P,5,O,-2,0.64,1.15,0.38,1.4
Calcite,30538,Al,3,B,3,B,3,O,-2,0.535,0.27,0.27,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",As,3,B,3,B,3,O,-2,0.58,0.27,0.27,1.4
A2BB’X6 – other,97972,B,3,Ba,2,Ti,4,O,-2,0.27,1.35,0.605,1.4
A2BB’X6 – other,95527,B,3,Ba,2,Zr,4,O,-2,0.27,1.35,0.72,1.4
A2BB’X6 – other,30998,B,3,Ca,2,Sn,4,O,-2,0.27,1,0.69,1.4
A2BB’X6 – other,80422,B,3,Cs,1,Nb,5,O,-2,0.27,1.67,0.64,1.4
A2BB’X6 – other,80423,B,3,Cs,1,Ta,5,O,-2,0.27,1.67,0.64,1.4
A2BB’X6 – other,170807,B,3,K,1,Nb,5,O,-2,0.27,1.38,0.64,1.4
A2BB’X6 – other,238073,B,3,K,1,Sb,5,O,-2,0.27,1.38,0.6,1.4
A2BB’X6 – other,162214,B,3,K,1,Ta,5,O,-2,0.27,1.38,0.64,1.4
A2BB’X6 – other,28266,B,3,Mg,2,Sn,4,O,-2,0.27,0.72,0.69,1.4
