Compound,Source (ICSD ID or reference),A,A Oxidation State,B, B Oxidation State,B',B' Oxidation State,X,X Oxidation State,A Radius,B Radius,B' Radius,X Radius
A2BB’X6 – other,79165,B,3,Mn,2,Sn,4,O,-2,0.27,0.67,0.69,1.4
A2BB’X6 – other,79703,B,3,Na,1,Nb,5,O,-2,0.27,1.02,0.64,1.4
A2BB’X6 – other,395,B,3,Rb,1,Nb,5,O,-2,0.27,1.52,0.64,1.4
A2BB’X6 – other,28267,B,3,Sr,2,Sn,4,O,-2,0.27,1.18,0.69,1.4
A2BB’X6 – other,2082,B,3,Tl,1,Nb,5,O,-2,0.27,1.5,0.64,1.4
A2BB’X6 – other,189501,B,3,Y,3,Cr,3,O,-2,0.27,0.9,0.615,1.4
A2BB’X6 – other,72450,Ba,2,Bi,3,Ru,5,O,-2,1.61,1.03,0.565,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,3,Ir,5,O,-2,1.61,0.61,0.57,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Os,6,O,-2,1.61,0.65,0.545,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,3,Sb,5,O,-2,1.61,0.61,0.6,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Os,5,O,-2,1.61,0.615,0.575,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Re,5,O,-2,1.61,0.615,0.58,1.4
A2BB’X6 – other,74410,Ba,2,Cr,3,Ta,5,O,-2,1.61,0.615,0.64,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,W,5,O,-2,1.61,0.615,0.62,1.4
A2BB’X6 – other,6240,Ba,2,Cu,2,Te,6,O,-2,1.61,0.73,0.56,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Os,5,O,-2,1.61,0.55,0.575,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Ir,5,O,-2,1.61,0.8,0.57,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Ru,5,O,-2,1.61,0.8,0.565,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,3,Ir,5,O,-2,1.61,0.645,0.57,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,Os,6,O,-2,1.61,0.67,0.545,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,3,Ru,5,O,-2,1.61,0.645,0.565,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,Os,6,O,-2,1.61,0.69,0.545,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,Te,6,O,-2,1.61,0.69,0.56,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,Ru,5,O,-2,1.61,0.665,0.565,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,Sb,5,O,-2,1.61,0.665,0.6,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,U,5,O,-2,1.61,0.665,0.76,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Mo,5,O,-2,1.61,0.745,0.61,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,Te,6,O,-2,1.61,0.74,0.56,1.4
ABB’X5,404439,Ba,2,B,3,As,5,O,-2,1.61,0.27,0.46,1.4
ABB’X5,50875,Ba,2,B,3,P,5,O,-2,1.61,0.27,0.38,1.4
Aragonite,15196,Ba,2,C,4,C,4,O,-2,1.61,0.16,0.16,1.4
BaNiO3 – type,922,Ba,2,Co,4,Co,4,O,-2,1.61,0.53,0.53,1.4
BaMnO3 – type,35029,Ba,2,Cr,4,Cr,4,O,-2,1.61,0.55,0.55,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Ba,2,Ge,4,Ge,4,O,-2,1.61,0.53,0.53,1.4
BaNiO3 – type,10331,Ba,2,Mn,4,Mn,4,O,-2,1.61,0.53,0.53,1.4
BaNiO3 – type,659538,Ba,2,Nb,4,Nb,4,S,-2,1.61,0.68,0.68,1.84
BaNiO3 – type,175,Ba,2,Ni,4,Ni,4,O,-2,1.61,0.48,0.48,1.4
BaMnO3 – type,15520,Ba,2,Rh,4,Rh,4,O,-2,1.61,0.6,0.6,1.4
BaRuO3 – type,10253,Ba,2,Ru,4,Ru,4,O,-2,1.61,0.62,0.62,1.4
BaMnO3 – type,84652,Ba,2,Ru,4,Ru,4,O,-2,1.61,0.62,0.62,1.4
AB2X5,54157,Ba,2,Se,4,Se,4,O,-2,1.61,0.5,0.5,1.4
BaRuO3 – type,156705,Ba,2,Si,4,Si,4,O,-2,1.61,0.4,0.4,1.4
AB2X5,424620,Ba,2,Sn,4,Sn,4,S,-2,1.61,0.69,0.69,1.84
BaNiO3 – type,16083,Ba,2,Ta,4,Ta,4,S,-2,1.61,0.68,0.68,1.84
BaNiO3 – type,616129,Ba,2,Ta,4,Ta,4,Se,-2,1.61,0.68,0.68,1.98
AB3X7,431435,Ba,2,Te,4,Te,4,O,-2,1.61,0.97,0.97,1.4
AB2X5,251556,Ba,2,Th,4,Th,4,S,-2,1.61,0.94,0.94,1.84
BaNiO3 – type,14175,Ba,2,Ti,4,Ti,4,S,-2,1.61,0.605,0.605,1.84
BaNiO3 – type,616131,Ba,2,Ti,4,Ti,4,Se,-2,1.61,0.605,0.605,1.98
AB2X5,425332,Ba,2,U,4,U,4,S,-2,1.61,0.89,0.89,1.84
AB2X5,616132,Ba,2,U,4,U,4,Se,-2,1.61,0.89,0.89,1.98
AB2X5,251557,Ba,2,U,4,U,4,Te,-2,1.61,0.89,0.89,2.21
AB3X9,172998,Ba,2,V,4,V,4,O,-2,1.61,0.58,0.58,1.4
BaNiO3 – type,8193,Ba,2,V,4,V,4,S,-2,1.61,0.58,0.58,1.84
BaNiO3 – type,10486,Ba,2,V,4,V,4,Se,-2,1.61,0.58,0.58,1.98
ABB’2X7,78029,Ba,2,V,4,Si,4,O,-2,1.61,0.58,0.4,1.4
BaNiO3 – type,616136,Ba,2,Zr,4,Zr,4,Se,-2,1.61,0.72,0.72,1.98
A2BX4 – other,64942,Be,2,Si,4,Si,4,O,-2,0.45,0.4,0.4,1.4
A2BB’X6 – other,82158,Bi,3,Cd,2,Ge,4,O,-2,1.03,0.95,0.53,1.4
A2BB’X6 – other,162263,Bi,3,Fe,2,Ti,4,O,-2,1.03,0.61,0.605,1.4
A2BB’X6 – other,152487,Bi,3,Ni,2,Mn,4,O,-2,1.03,0.69,0.53,1.4
ABB’X5,91474,Cd,2,Bi,3,V,5,O,-2,1.31,1.03,0.54,1.4
ABB’X5,88825,Co,2,Bi,3,P,5,O,-2,0.745,1.03,0.38,1.4
ABB’X5,150399,Mg,2,Bi,3,V,5,O,-2,0.72,1.03,0.54,1.4
ABB’X5,59721,Mn,2,Bi,3,As,5,O,-2,0.83,1.03,0.46,1.4
ABB’X5,95086,Mn,2,Bi,3,P,5,O,-2,0.83,1.03,0.38,1.4
ABB’X5,59720,Mn,2,Bi,3,V,5,O,-2,0.83,1.03,0.54,1.4
ABB’X5,79857,Ni,2,Bi,3,P,5,O,-2,0.49,1.03,0.38,1.4
ABB’X5,60577,Pb,2,Bi,3,V,5,O,-2,1.49,1.03,0.54,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Bi,3,Sm,3,Sm,3,O,-2,1.03,0.958,0.958,1.4
ABB’X3X7,51317,Co,2,P,5,B,3,O,-2,0.745,0.38,0.27,1.4
ABB’X3X7,406386,Zn,2,P,5,B,3,O,-2,0.74,0.38,0.27,1.4
A2B2B’X7,24588,Al,3,Ca,2,Si,4,Si,-2,0.535,1,0.4,
A2B2B’X7,5244,B,3,Ca,2,Si,4,Si,-2,0.27,1,0.4,
A2BB’X6 – other,91475,Ca,2,Bi,3,As,5,O,-2,1.34,1.03,0.46,1.4
Olivine,23416,Ca,2,Ge,4,Ge,4,S,-2,1.34,0.53,0.53,1.84
Olivine,619542,Ca,2,Si,4,Si,4,S,-2,1.34,0.4,0.4,1.84
Olivine,619574,Ca,2,Si,4,Si,4,Se,-2,1.34,0.4,0.4,1.98
Olivine,619548,Ca,2,Sn,4,Sn,4,S,-2,1.34,0.69,0.69,1.84
ABB’X5,73814,Ca,2,Bi,3,V,5,O,-2,1.34,1.03,0.54,1.4
ABB’X5,87893,Ca,2,B,3,P,5,O,-2,1.34,0.27,0.38,1.4
Aragonite,15194,Ca,2,C,4,C,4,O,-2,1.34,0.16,0.16,1.4
Pyroxene,173278,Ca,2,Pt,4,Pt,4,O,-2,1.34,0.625,0.625,1.4
AB2X5,27209,Ca,2,Se,4,Se,4,O,-2,1.34,0.5,0.5,1.4
ABB’X5,1042,Ca,2,Sn,4,Si,4,O,-2,1.34,0.69,0.4,1.4
AB2X5,419646,Ca,2,Te,4,Te,4,O,-2,1.34,0.97,0.97,1.4
ABB’X5,4319,Ca,2,Te,4,C,4,O,-2,1.34,0.97,0.16,1.4
ABB’X5,171795,Ca,2,Ti,4,Ge,4,O,-2,1.34,0.605,0.53,1.4
ABB’X5,9837,Ca,2,Ti,4,Si,4,O,-2,1.34,0.605,0.4,1.4
AB2X5,619577,Ca,2,U,4,U,4,Se,-2,1.34,0.89,0.89,1.98
ABB’X5,154327,Ca,2,Zr,4,Ge,4,O,-2,1.34,0.72,0.53,1.4
ABB’2X7,203131,Ca,2,Zr,4,Si,4,O,-2,1.34,0.72,0.4,1.4
A2BB’X6 – other,154151,Cd,2,Bi,3,As,5,O,-2,1.31,1.03,0.46,1.4
A2B3X8,16957,Cd,2,Mn,4,Mn,4,O,-2,1.31,0.53,0.53,1.4
A2BX4 – other,50527,Cd,2,Si,4,Si,4,O,-2,1.31,0.4,0.4,1.4
Calcite,33662,Cd,2,C,4,C,4,O,-2,1.31,0.16,0.16,1.4
AB2X5,75230,Cd,2,Se,4,Se,4,O,-2,1.31,0.5,0.5,1.4
Aragonite,99689,Ce,3,B,3,B,3,O,-2,1.34,0.27,0.27,1.4
Spinel,21115,Co,2,Ge,4,Ge,4,O,-2,0.745,0.53,0.53,1.4
A2B3X8,10143,Co,2,Mo,4,Mo,4,O,-2,0.745,0.65,0.65,1.4
Olivine,6248,Co,2,Si,4,Si,4,O,-2,0.745,0.4,0.4,1.4
A2B3X8,50702,Co,2,Te,4,Te,4,O,-2,0.745,0.97,0.97,1.4
ABB’X5,428633,Co,2,Bi,3,As,5,O,-2,0.745,1.03,0.46,1.4
Calcite,5208,Co,2,C,4,C,4,O,-2,0.745,0.16,0.16,1.4
ABB’X5,93580,Co,2,Fe,3,P,5,O,-2,0.745,0.55,0.38,1.4
Ilmenite,31854,Co,2,Mn,4,Mn,4,O,-2,0.745,0.53,0.53,1.4
AB2X5,49916,Co,2,Se,4,Se,4,O,-2,0.745,0.5,0.5,1.4
Ilmenite,16548,Co,2,Ti,4,Ti,4,O,-2,0.745,0.605,0.605,1.4
AB2X5,624883,Co,2,U,4,U,4,S,-2,0.745,0.89,0.89,1.84
A2BX4 – other,75639,Cr,2,Si,4,Si,4,O,-2,0.8,0.4,0.4,1.4
Calcite,43311,Cr,3,B,3,B,3,O,-2,0.615,0.27,0.27,1.4
A2B3X8,4074,Cs,1,Hg,2,Hg,2,I,-1,1.88,1.02,1.02,2.2
A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Ho,3,I,-1,1.88,0.76,0.901,2.2
A2BB’X6 – other,65735,Cs,1,Li,1,In,3,Cl,-1,1.88,0.76,0.8,1.81
A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Lu,3,I,-1,1.88,0.76,0.861,2.2
A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Sc,3,Cl,-1,1.88,0.76,0.745,1.81
A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Sc,3,I,-1,1.88,0.76,0.745,2.2
A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Tm,3,I,-1,1.88,0.76,0.88,2.2
A2BB’X6 – other,42157,Cs,1,Na,1,Co,3,F,-1,1.88,1.02,0.61,1.33
A2BB’X6 – other,42152,Cs,1,Na,1,Ni,3,F,-1,1.88,1.02,0.56,1.33
A2BB’X6 – other,67160,Cs,1,Na,1,Ti,3,F,-1,1.88,1.02,0.67,1.33
A3BX5,201135,Cs,1,Co,2,Co,2,Br,-1,1.88,0.65,0.65,1.96
A3BX5,180053,Cs,1,Zn,2,Zn,2,Br,-1,1.88,0.74,0.74,1.96
A3BX5,240876,Cs,1,Zn,2,Zn,2,Cl,-1,1.88,0.74,0.74,1.81
AB3X8,172984,Cs,1,As,5,As,5,O,-2,1.88,0.46,0.46,1.4
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ba,2,Ba,2,Br,-1,1.88,1.35,1.35,1.96
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ba,2,Ba,2,Cl,-1,1.88,1.35,1.35,1.81
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ba,2,Ba,2,F,-1,1.88,1.35,1.35,1.33
ABB’2X7,96510,Bi,3,Cs,1,Nb,5,O,-2,1.03,1.67,0.64,1.4
BaNiO3 – type,27511,Cs,1,Co,2,Co,2,Cl,-1,1.88,0.65,0.65,1.81
BaRuO3 – type,15091,Cs,1,Co,2,Co,2,F,-1,1.88,0.65,0.65,1.33
AB3X8,28410,Cs,1,Cr,5,Cr,5,O,-2,1.88,0.49,0.49,1.4
ABB’2X7,195521,Cr,3,Cs,1,As,5,O,-2,0.615,1.67,0.46,1.4
BaNiO3 – type,36132,Cs,1,Cr,2,Cr,2,Cl,-1,1.88,0.73,0.73,1.81
ABB’2X7,54093,Cr,3,Cs,1,P,5,O,-2,0.615,1.67,0.38,1.4
ABB’2X7,260893,Cr,3,Cs,1,P,5,S,-2,0.615,1.67,0.38,1.84
ABB’2X7,262978,Cr,3,Cs,1,V,5,O,-2,0.615,1.67,0.54,1.4
AB2X5,33867,Cs,1,Cu,2,Cu,2,F,-1,1.88,0.73,0.73,1.33
ABB’2X7,421378,Er,3,Cs,1,P,5,O,-2,0.89,1.67,0.38,1.4
AB2X5,41099,Cs,1,Eu,2,Eu,2,I,-1,1.88,1.17,1.17,2.2
BaNiO3 – type,174041,Cs,1,Fe,2,Fe,2,Br,-1,1.88,0.61,0.61,1.96
BaNiO3 – type,300249,Cs,1,Fe,2,Fe,2,Cl,-1,1.88,0.61,0.61,1.81
ABB’2X7,72723,Fe,3,Cs,1,P,5,O,-2,0.645,1.67,0.38,1.4
ABB’2X7,240262,In,3,Cs,1,P,5,O,-2,0.8,1.67,0.38,1.4
ABB’2X7,82378,La,3,Cs,1,Nb,5,O,-2,1.36,1.67,0.64,1.4
ABB’2X7,160193,Lu,3,Cs,1,P,5,O,-2,0.861,1.67,0.38,1.4
BaNiO3 – type,87260,Cs,1,Mg,2,Mg,2,Br,-1,1.88,0.72,0.72,1.96
BaNiO3 – type,22086,Cs,1,Mg,2,Mg,2,Cl,-1,1.88,0.72,0.72,1.81
BaNiO3 – type,87262,Cs,1,Mg,2,Mg,2,I,-1,1.88,0.72,0.72,2.2
BaNiO3 – type,2782,Cs,1,Mn,2,Mn,2,Br,-1,1.88,0.67,0.67,1.96
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Mn,2,Mn,2,F,-1,1.88,0.67,0.67,1.33
BaNiO3 – type,10042,Cs,1,Mn,2,Mn,2,I,-1,1.88,0.67,0.67,2.2
ABB’2X7,49919,Mo,3,Cs,1,P,5,O,-2,0.69,1.67,0.38,1.4
ABB’2X7,96511,Nb,3,Cs,1,Nb,5,O,-2,0.72,1.67,0.64,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Cs,1,Nb,5,Nb,5,O,-2,1.88,0.64,0.64,1.4
BaNiO3 – type,423829,Cs,1,Ni,2,Ni,2,Br,-1,1.88,0.69,0.69,1.96
BaNiO3 – type,60262,Cs,1,Ni,2,Ni,2,Cl,-1,1.88,0.69,0.69,1.81
BaNiO3 – type,15092,Cs,1,Ni,2,Ni,2,F,-1,1.88,0.69,0.69,1.33
BaNiO3 – type,423830,Cs,1,Ni,2,Ni,2,I,-1,1.88,0.69,0.69,2.2
AB2X5,411722,Cs,1,Pd,2,Pd,2,Cl,-1,1.88,0.86,0.86,1.81
AB2X5,35284,Cs,1,Pd,2,Pd,2,F,-1,1.88,0.86,0.86,1.33
ABB’X5,74288,Cs,1,Pd,2,Ni,2,F,-1,1.88,0.86,0.69,1.33
ABB’2X7,94910,Pu,3,Cs,1,P,5,S,-2,1,1.67,0.38,1.84
BaNiO3 – type,41320,Cs,1,Ti,2,Ti,2,Br,-1,1.88,0.86,0.86,1.96
BaNiO3 – type,49748,Cs,1,Ti,2,Ti,2,Cl,-1,1.88,0.86,0.86,1.81
BaNiO3 – type,154258,Cs,1,Ti,2,Ti,2,I,-1,1.88,0.86,0.86,2.2
ABB’2X7,280202,Ti,3,Cs,1,P,5,O,-2,0.67,1.67,0.38,1.4
BaNiO3 – type,201829,Cs,1,V,2,V,2,Br,-1,1.88,0.79,0.79,1.96
BaNiO3 – type,15932,Cs,1,V,2,V,2,Cl,-1,1.88,0.79,0.79,1.81
BaNiO3 – type,26453,Cs,1,V,2,V,2,I,-1,1.88,0.79,0.79,2.2
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Cs,1,V,5,V,5,O,-2,1.88,0.54,0.54,1.4
ABB’2X7,65678,V,3,Cs,1,P,5,O,-2,0.64,1.67,0.38,1.4
ABB’2X7,300200,Yb,3,Cs,1,P,5,O,-2,0.868,1.67,0.38,1.4
ABB’2X7,74599,Y,3,Cs,1,P,5,O,-2,0.9,1.67,0.38,1.4
A2BB’X6 – other,88111,Cu,2,Bi,3,As,5,O,-2,0.57,1.03,0.46,1.4
A2BB’X6 – other,75387,Cu,2,Bi,3,P,5,O,-2,0.57,1.03,0.38,1.4
A2BB’X6 – other,51091,Cu,2,Bi,3,V,5,O,-2,0.57,1.03,0.54,1.4
A2B3X8,971,Cu,2,Mn,4,Mn,4,O,-2,0.57,0.53,0.53,1.4
ABB’X5,91551,Cu,2,Al,3,As,5,O,-2,0.57,0.535,0.46,1.4
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Ca,2,Ca,2,Cl,-1,0.46,1,1,1.81
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Cd,2,Cd,2,Cl,-1,0.46,0.95,0.95,1.81
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Cd,2,Cd,2,I,-1,0.46,0.95,0.95,2.2
ABB’X5,93582,Cu,2,Fe,3,P,5,O,-2,0.57,0.55,0.38,1.4
ABB’X5,89606,Cu,2,In,3,P,5,O,-2,0.57,0.8,0.38,1.4
ABB’X5,151080,Cu,2,In,3,V,5,O,-2,0.57,0.8,0.54,1.4
AB3X8,14099,Cu,1,Nb,5,Nb,5,O,-2,0.46,0.64,0.64,1.4
AB3X7,414107,Cu,1,Pb,2,Pb,2,Br,-1,0.46,1.19,1.19,1.96
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Cu,1,P,5,P,5,O,-2,0.46,0.38,0.38,1.4
AB2X5,603,Cu,2,Se,4,Se,4,O,-2,0.57,0.5,0.5,1.4
AB2X5,2542,Cu,2,Te,4,Te,4,O,-2,0.57,0.97,0.97,1.4
ABB’2X7,88704,Cu,2,V,4,Se,4,O,-2,0.57,0.58,0.5,1.4
ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Zn,2,Zn,2,Cl,-1,0.46,0.74,0.74,1.81
ABB’X5,174286,Cu,2,Zr,4,Ti,4,O,-2,0.57,0.72,0.605,1.4
A2B2B’X7,39121,Dy,3,Be,2,Ge,4,Ge,-2,0.912,0.45,0.53,
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Dy,3,Cu,2,Ti,4,O,-2,0.912,0.73,0.605,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Dy,3,B,3,B,3,O,-2,0.912,0.27,0.27,1.4
A2B2B’X7,39123,Er,3,Be,2,Ge,4,Ge,-2,0.89,0.45,0.53,
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Er,3,Cu,2,Ti,4,O,-2,0.89,0.73,0.605,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Er,3,B,3,B,3,O,-2,0.89,0.27,0.27,1.4
A2B2B’X7,262242,Ga,3,Eu,2,Ge,4,Ge,-2,0.62,1.17,0.53,
A2BX4 – other,1510,Eu,2,Si,4,Si,4,O,-2,1.17,0.4,0.4,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Eu,3,B,3,B,3,O,-2,0.947,0.27,0.27,1.4
Aragonite,109074,Eu,2,C,4,C,4,O,-2,1.17,0.16,0.16,1.4
Spinel,93973,Fe,2,Ge,4,Ge,4,O,-2,0.78,0.53,0.53,1.4
Olivine,333,Fe,2,Ge,4,Ge,4,S,-2,0.78,0.53,0.53,1.84
A2B3X8,4182,Fe,2,Mo,4,Mo,4,O,-2,0.78,0.65,0.65,1.4
Pyroxene,189439,Fe,3,Fe,3,Fe,3,O,-2,0.645,0.55,0.55,1.4
Spinel,100552,Fe,2,Si,4,Si,4,O,-2,0.78,0.4,0.4,1.4
Olivine,332,Fe,2,Si,4,Si,4,S,-2,0.78,0.4,0.4,1.84
ABB’X5,74760,Fe,2,Al,3,P,5,O,-2,0.78,0.535,0.38,1.4
Calcite,34474,Fe,3,B,3,B,3,O,-2,0.645,0.27,0.27,1.4
Calcite,100678,Fe,2,C,4,C,4,O,-2,0.78,0.16,0.16,1.4
AB2X5,633325,Fe,2,Th,4,Th,4,S,-2,0.78,0.94,0.94,1.84
AB2X5,633494,Fe,2,Th,4,Th,4,Se,-2,0.78,0.94,0.94,1.98
Ilmenite,9805,Fe,2,Ti,4,Ti,4,O,-2,0.78,0.605,0.605,1.4
AB2X5,41899,Fe,2,U,4,U,4,Se,-2,0.78,0.89,0.89,1.98
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Ga,3,Al,3,Al,3,O,-2,0.62,0.535,0.535,1.4
Calcite,429062,Ga,3,B,3,B,3,O,-2,0.62,0.27,0.27,1.4
A2B2B’X7,39120,Gd,3,Be,2,Ge,4,Ge,-2,0.938,0.45,0.53,
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Gd,3,B,3,B,3,O,-2,0.938,0.27,0.27,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Gd,3,Y,3,Y,3,O,-2,0.938,0.9,0.9,1.4
A2BB’X6 – other,413288,Hg,2,Cd,2,Se,6,O,-2,0.69,0.95,0.42,1.4
A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ho,3,Cu,2,Ti,4,O,-2,0.901,0.73,0.605,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Ho,3,B,3,B,3,O,-2,0.901,0.27,0.27,1.4
A2BB’X6 – other,410032,In,3,Bi,3,Ga,3,O,-2,0.8,1.03,0.62,1.4
Calcite,75254,In,3,B,3,B,3,O,-2,0.8,0.27,0.27,1.4
ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",In,3,Fe,3,Fe,3,O,-2,0.8,0.55,0.55,1.4
A2BB’X6 – other,201983,K,1,Cs,1,Bi,3,Cl,-1,1.64,1.67,1.03,1.81
A2B2B’X7,239570,Sc,3,P,5,K,1,K,-2,0.745,0.38,1.38,
A2BB’X6 – other,201788,K,1,Sb,5,P,5,O,-2,1.64,0.6,0.38,1.4
A2BB’X6 – other,412999,K,1,Se,4,Mo,6,O,-2,1.64,0.5,0.59,1.4
A2BB’X6 – other,72977,K,1,V,5,P,5,O,-2,1.64,0.54,0.38,1.4
A3BX5,14114,K,1,Be,2,Be,2,F,-1,1.64,0.45,0.45,1.33
