Compound,Source (ICSD ID or reference),A,A Oxidation State,B, B Oxidation State,B',B' Oxidation State,X,X Oxidation State,A Radius,B Radius,B' Radius,X Radius
SrThO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Sr,2,Th,4,Th,4,O,-2,1.44,0.94,0.94,1.4
SrTiO3,290619,Sr,2,Ti,4,Ti,4,O,-2,1.44,0.605,0.605,1.4
SrZrO3,173398,Sr,2,Zr,4,Zr,4,O,-2,1.44,0.72,0.72,1.4
TaThN3,77661,Th,4,Ta,5,Ta,5,N,-3,1.21,0.64,0.64,1.46
TbAlO3,84422,Tb,3,Al,3,Al,3,O,-2,0.923,0.535,0.535,1.4
TbCoO3,23657,Tb,3,Co,3,Co,3,O,-2,0.923,0.61,0.61,1.4
TbCrO3,251101,Tb,3,Cr,3,Cr,3,O,-2,0.923,0.615,0.615,1.4
TbFeO3,22311,Tb,3,Fe,3,Fe,3,O,-2,0.923,0.55,0.55,1.4
TbMnO3,15720,Tb,3,Mn,3,Mn,3,O,-2,0.923,0.645,0.645,1.4
TbRhO3,172352,Tb,3,Rh,3,Rh,3,O,-2,0.923,0.665,0.665,1.4
TbScO3,99544,Tb,3,Sc,3,Sc,3,O,-2,0.923,0.745,0.745,1.4
TbScS3,650846,Tb,3,Sc,3,Sc,3,S,-2,0.923,0.745,0.745,1.84
TbVO3,155481,Tb,3,V,3,V,3,O,-2,0.923,0.64,0.64,1.4
TlCdCl3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Cd,2,Cd,2,Cl,-1,1.7,0.95,0.95,1.81
TlCdF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Cd,2,Cd,2,F,-1,1.7,0.95,0.95,1.33
TlCrF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Cr,2,Cr,2,F,-1,1.7,0.73,0.73,1.33
TlCrO3,238834,Tl,3,Cr,3,Cr,3,O,-2,0.885,0.615,0.615,1.4
TlCuF3,43457,Tl,1,Cu,2,Cu,2,F,-1,1.7,0.73,0.73,1.33
TlFeF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Fe,2,Fe,2,F,-1,1.7,0.61,0.61,1.33
TlIO3,"J Alloy and Compounds, 372, 40-48 (2008)",Tl,1,I,5,I,5,O,-2,1.7,0.95,0.95,1.4
TlMnCl3,23167,Tl,1,Mn,2,Mn,2,Cl,-1,1.7,0.67,0.67,1.81
TlMnF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Mn,2,Mn,2,F,-1,1.7,0.67,0.67,1.33
TlMnI3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Mn,2,Mn,2,I,-1,1.7,0.67,0.67,2.2
TlNiO3,95948,Tl,3,Ni,3,Ni,3,O,-2,0.885,0.56,0.56,1.4
TlPbI3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Pb,2,Pb,2,I,-1,1.7,1.19,1.19,2.2
TmAlO3,"J Alloy and Compounds, 372, 40-48 (2008)",Tm,3,Al,3,Al,3,O,-2,0.88,0.535,0.535,1.4
TmCoO3,172050,Tm,3,Co,3,Co,3,O,-2,0.88,0.61,0.61,1.4
TmCrO3,247738,Tm,3,Cr,3,Cr,3,O,-2,0.88,0.615,0.615,1.4
TmFeO3,25658,Tm,3,Fe,3,Fe,3,O,-2,0.88,0.55,0.55,1.4
TmMnO3,162209,Tm,3,Mn,3,Mn,3,O,-2,0.88,0.645,0.645,1.4
TmNiO3,189295,Tm,3,Ni,3,Ni,3,O,-2,0.88,0.56,0.56,1.4
TmVO3,185839,Tm,3,V,3,V,3,O,-2,0.88,0.64,0.64,1.4
UCoS3,624881,U,3,Co,3,Co,3,S,-2,1.025,0.61,0.61,1.84
UNiS3,646401,U,4,Ni,2,Ni,2,S,-2,1.17,0.69,0.69,1.84
UVS3,651346,U,3,V,3,V,3,S,-2,1.025,0.64,0.64,1.84
YAlO3,4115,Y,3,Al,3,Al,3,O,-2,0.9,0.535,0.535,1.4
YbAlO3,"J Alloy and Compounds, 372, 40-48 (2008)",Yb,3,Al,3,Al,3,O,-2,0.868,0.535,0.535,1.4
YbCoO3,172051,Yb,3,Co,3,Co,3,O,-2,0.868,0.61,0.61,1.4
YbCrO3,251105,Yb,3,Cr,3,Cr,3,O,-2,0.868,0.615,0.615,1.4
YbFeO3,27284,Yb,3,Fe,3,Fe,3,O,-2,0.868,0.55,0.55,1.4
YbMnO3,171759,Yb,3,Mn,3,Mn,3,O,-2,0.868,0.645,0.645,1.4
YbNiO3,189297,Yb,3,Ni,3,Ni,3,O,-2,0.868,0.56,0.56,1.4
YbVO3,97783,Yb,3,V,3,V,3,O,-2,0.868,0.64,0.64,1.4
YCoO3,155834,Y,3,Co,3,Co,3,O,-2,0.9,0.61,0.61,1.4
YCrO3,109352,Y,3,Cr,3,Cr,3,O,-2,0.9,0.615,0.615,1.4
YFeO3,80865,Y,3,Fe,3,Fe,3,O,-2,0.9,0.55,0.55,1.4
